quema,x,y,cell,coverage_fraction,var,value,date,date_img
Autumn,535035,4129425,2037,0.17007976770401,s2nbr,-0.016752969473600388,2018-12-12,pre2
Autumn,535035,4129425,2037,0.17007976770401,s2nbr,0.06410256773233414,2018-12-17,pre1
Autumn,535035,4129425,2037,0.17007976770401,s2nbr,-0.014107883907854557,2018-12-22,post1
Autumn,535035,4129425,2037,0.17007976770401,s2nbr,0.08984375,2018-12-27,post2
Autumn,535045,4129425,2038,0.20103952288627625,s2nbr,0.14033366739749908,2018-12-12,pre2
Autumn,535045,4129425,2038,0.20103952288627625,s2nbr,0.1557035744190216,2018-12-17,pre1
Autumn,535045,4129425,2038,0.20103952288627625,s2nbr,0.0963665097951889,2018-12-22,post1
Autumn,535045,4129425,2038,0.20103952288627625,s2nbr,0.2131868153810501,2018-12-27,post2
Autumn,535025,4129415,2113,0.20110201835632324,s2nbr,0.17003904283046722,2018-12-12,pre2
Autumn,535025,4129415,2113,0.20110201835632324,s2nbr,0.1648208498954773,2018-12-17,pre1
Autumn,535025,4129415,2113,0.20110201835632324,s2nbr,0.058302078396081924,2018-12-22,post1
Autumn,535025,4129415,2113,0.20110201835632324,s2nbr,0.1368861049413681,2018-12-27,post2
Autumn,535035,4129415,2114,0.9363400340080261,s2nbr,0.049206994473934174,2018-12-12,pre2
Autumn,535035,4129415,2114,0.9363400340080261,s2nbr,0.05107327923178673,2018-12-17,pre1
Autumn,535035,4129415,2114,0.9363400340080261,s2nbr,0.10295550525188446,2018-12-22,post1
Autumn,535035,4129415,2114,0.9363400340080261,s2nbr,0.13417190313339233,2018-12-27,post2
Autumn,535045,4129415,2115,0.9704469442367554,s2nbr,-0.0954773873090744,2018-12-12,pre2
Autumn,535045,4129415,2115,0.9704469442367554,s2nbr,-0.021621622145175934,2018-12-17,pre1
Autumn,535045,4129415,2115,0.9704469442367554,s2nbr,0.06292352080345154,2018-12-22,post1
Autumn,535045,4129415,2115,0.9704469442367554,s2nbr,0.11167512834072113,2018-12-27,post2
Autumn,535055,4129415,2116,0.42168423533439636,s2nbr,0.05474254861474037,2018-12-12,pre2
Autumn,535055,4129415,2116,0.42168423533439636,s2nbr,-0.02857142873108387,2018-12-17,pre1
Autumn,535055,4129415,2116,0.42168423533439636,s2nbr,0.024193547666072845,2018-12-22,post1
Autumn,535055,4129415,2116,0.42168423533439636,s2nbr,0.06914893537759781,2018-12-27,post2
Autumn,535015,4129405,2189,0.24527868628501892,s2nbr,0.1495167762041092,2018-12-12,pre2
Autumn,535015,4129405,2189,0.24527868628501892,s2nbr,0.16144154965877533,2018-12-17,pre1
Autumn,535015,4129405,2189,0.24527868628501892,s2nbr,0.09236947447061539,2018-12-22,post1
